httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.398615032s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1769,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-list/users/f8b10197-6adf-4f29-b8cb-3d2c1590102e,3471,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a18280001702114323b17,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:28.242494265Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,11364655989206880746,,2024-04-25T08:45:27.694392Z,projects/accesa-playground/traces/6369199578235a654cd9a1b3929c3a52,
1.596720785s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1723,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,4190,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1827000942210bc13074,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:27.909917832Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,13700637950618189567,,2024-04-25T08:45:26.008799Z,projects/accesa-playground/traces/b93a5165ab64b923e6952a9df7cba258,
0.873386338s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1735,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,1979,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1826000d63e08be45668,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:26.910310584Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,14449943234271320342,,2024-04-25T08:45:26.003062Z,projects/accesa-playground/traces/9340e5ee869775a9c1c3e11ecc039992,
0.209459752s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1731,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/permission-list,2931,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a182400086bb42f4f1638,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:24.580208247Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,2747471442010204156,,2024-04-25T08:45:24.341252Z,projects/accesa-playground/traces/8a82fe3c1c5e862ee8fc115f422e5c9c,
0.195291928s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1735,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,1979,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a18220009ac1d065378cc,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:22.915145705Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,7095440992161683039,,2024-04-25T08:45:22.437035Z,projects/accesa-playground/traces/632108c60632c66819bf885b9c1758e1,
1.016936614s,HTTP/1.1,http://localhost:4200/,91.240.5.97,PATCH,1974,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-permissions/f8b10197-6adf-4f29-b8cb-3d2c1590102e,1271,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1821000e54997f96f3df,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:22.249005202Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,11092685700172029380,,2024-04-25T08:45:20.920756Z,projects/accesa-playground/traces/233e11b37eab069330289d936ede7c67,true
0.292433096s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1740,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-permissions/actions,1287,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a18140009cd7fd780a24f,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:08.927866800Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,6286901500154835618,,2024-04-25T08:45:08.348723Z,projects/accesa-playground/traces/622fba3367dbf62ce556494284e38ae1,
0.498378797s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1768,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-list/users/f8b10197-6adf-4f29-b8cb-3d2c1590102e,3409,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1814000cb63813a4d326,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:08.927866800Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,9655345720539024546,,2024-04-25T08:45:08.333435Z,projects/accesa-playground/traces/58b54732e7e0fc7a3fc0f7b4a20c0d52,
0.206533199s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1730,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/permission-list,2931,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a18140003065282e880d2,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:08.262533052Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,5040848028636337069,,2024-04-25T08:45:07.990598Z,projects/accesa-playground/traces/8a90ba8226ace353bac6cf226779db9c,
1.063301575s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1722,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,3895,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1813000e00ff74cf4f2d,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:07.929217889Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,17534258438029819448,,2024-04-25T08:45:06.853334Z,projects/accesa-playground/traces/b5049e748fb2f86b7a54e5a5fe836324,
